0.568 liter, pint
besitzanspruch, tenure
besitzanzeigend, possessive
besitzend, owning
besitzend, possessing
besitzen, have got
besitzen, hold
besitzen, possess
besitzer der aktienmehrheit, majority stockholder
besitzergreifer, occupier
besitzergreifungen, occupancies
besitzergreifung, occupancy
besitzer, holders
besitzerinnen, owners
besitzer, owner
besitzer, possessor
besitzer wechseln, change hands
besitz erwerben, acquire possession
besitzerzeichen, ownership mark
besitze, tenures
besitzgierig, possessively
besitzgier, possessiveness
besitzlos, unpropertied
besitznahme, appropriation
besitznahmen, appropriations
besitzplan, land ownership map
besitz, possesion
besitz, possession
besitzstörung, intrusion
besitz, tenure
besitztitel, tenure
besitzt, owns
besitztum, estate
besitzübertragung, demise
besitzübertragungen, demises
besitzungen, possessions
besitzwechsel, change in ownership
besitz wieder übernehmen, resume possession
bes. lebensversicherung, assurance
besoffene, lush
besoffenen, lushes
besoffenheit, jaggedness
besoffen, primed
besoffen sein, be plastered
besoffen, sloshed
besohlend, soling
besohlte neu, resoled
besohlten, soled
besohlte, soled
besohlt neu, resoles
besohlt, soled
besoldend, paying a salary
besolde, pay a salary
besoldete, salaried
besoldungen, salaries
besoldung, salary
besondere abweichungen, particular variations
besondere eigenschaften, features
besondere erleichterungen, special facilities
besondere fachkenntnisse, specialized knowledge
besondere gefahren, extraneous perils
besondere gefahren, special risks
besondere gründe, specific reasons
besondere gründeþ, specific reasons
besondere havarie, particular average
besondere haverie, particular average
besondere rechtsvorschriften, special provisions of law
besondere rechtsvorschriftenþ, special provisions of law
besonderer handelsbrauch, custom of the particular trade
besonderer handelsbrauch, particular custom
besondere risiken, special risks
besondere risikenþ, special risks
besonderer, particular
besonderer schutz, individual protection
besonderer, special
besonderer und zusätzlicher schadensanspruch, special damage
besonderer verrechnungsvermerk, special crossing
besonderer verrechnungsvermerkþ, special crossing
besonderes merkmal, speciality
besondere sorgfalt, special diligence
besondere sozialleistungen, fringe benefits
besonderes, particular
besonderes, special
besondere vorliebe, gusto
besondere vorliebe, partiality
besondere vorzugsaktien, debenture stock
besonderheit, anomaly
besonderheit, characteristic
besonderheiten der regionen, regional distinctions
besonderheiten, features
besonderheit, especialness
besonderheit, noteworthiness
besonderheit, peculiarity
besonderheit, speciality
besonderheit, specialty
besonders beliebte speisen, especial favorites
besonders beliebt ist, particularly loved is
besonders, eminently
besonders, especial
besonders, especially
besonders, exceedingly
besonders, extra
besonders fein, superfine
besonders geeignet um, is especially suited to
besonders groß, king size
besonders hervorragend, singular
besonders, in particular
besonders markierter scheck, marked cheque
besonders, particular
besonders, particularly
besonders, peculiar
besonders, separately
besonders, special
besonders, specially
besonders, specific
besonders zu beachten ist, attention should be paid to
besondersþ, specific
besonnen, cool-headid
besonnenere, more prudent
besonnenheit, deliberateness
besonnenheit, sober-mindedness
besonnen, prudent
besonnen, sober-minded
besonnenste, most prudent
besorgen, deal with
besorgen, provide with
besorgnis, anxiety
besorgniserregend, alarming
besorgniserregender, more alarming
besorgniserregendst, most alarming
besorgnisse, apprehensivenesses
besorgt, afraid
besorgt, anxious
besorgt, caring
besorgtere, more worried
besorgte, solicitously
besorgteste, most worried
besorgtheit, solicitousness
besorgtheit, solicitude
besorgt sein, be anxious
besorgt sein um, be concerned about
besorgt, solicitous
besorgungen machen, run errands
besorgungen, procurements
besorgung, errand
besorgung, procuration
besorgung, procurement
bespannen, cover
bespannen, string
bespannten, stringed
bespannte, stringed
bespannt, strings
bespickend, spiking
bespielen mit etwas, record s.th. on tape
bespornter pfeiler, nosed pier
bespöttelnd, squibbing
besprechen, bespeak
besprechend, discussing
besprechen, discuss
besprechen mit, take over with
besprechen, talk over
besprechung, conference
besprechung, discussion
besprechungen, discussions
besprechung, informal meeting
besprechung, meeting
besprengt, sprinkled
bespricht sich, parleys
bespritzend, dabbling
bespritzende, splashing
bespritzen, spatter
bespritzen, splash
bespritzen, splatter
bespritzt, dabbles
bespritzte, dabbled
bespritzten, splashes
besprochen, discussed
besser beachten, you must pay more attention
besser, better
bessern, amend
bessernd, ameliorative
besser nutzbar, revitalize
besser, superior
bessert aus, refits
bessert, improves
besserung, betterment
besserungen, betterments
besserung, improvement
besserungsanstalten, reformatories
besserungsanstalt, reformatory
besser verdienend, well-to-do
besser werden, better
besserwisser, faultfinder
besserwisser, know-it-all
bessesen sein von, be obsessed with
bestach, bribed
bestahl, stole from
bestallungsurkunde, certificate of appointment
bestand an diskontwechseln, discount holdings
bestand aufnehmen, take stock
bestand aus, consisted
bestände auffüllen, accumulate inventories
bestanden auf, insisted
bestandene prüfung, pass
bestände, stocks
bestand, existed
beständig, consistent
beständig, consistently
beständig, constant
beständig, constantly
beständige, perennially
beständige preise, constant prices
beständigere, more constant
beständiges wetter, settled weather
beständige ursache von reibungen, constant source of friction
beständig, invariable
beständigkeit, constancy
beständigkeiten, steadinesses
beständigkeit, permanence
beständig machen, proof
beständig, stable
beständig, standing
beständig, steady
beständigste, constantest
bestand, inventory
bestand, portfolio
bestandsaufnahme, architectural surveying
bestandsaufnahme, inventory control
bestandsaufnahmen, inventories
bestandsaufnahme, stock taking
bestandsaufnahme, stocktaking
bestandsbezeichnung, inventory declaration
bestandsbezeichnung, inventory description
bestandsdatei, master file
bestandskonto, asset account
bestandskontrolle, inventory control
bestandslücke, gap of the survey
bestandsprüfung, examination of the survey
bestandssicherung, safeguarding of existing monuments
bestand, stock
bestandsvolumen, volume of stocks
bestandszahl, stock figure
bestandteil, component
bestandteile, constituents
bestandteile, ingredient
bestandteile, ingredients
bestandteil, element
bestandteil, ingredient
bestandteil, material
bestärkend, corroborative
bestärkende, corroboratively
bestärken, strengthen
bestärkt, assured
bestärkte, strengthened
bestästiger, pesterer
bestätigen, acknowledge
bestätigen, affirm
bestätigen, affirm a contract
bestätigen, certify
bestätigen, confirm
bestätigend, affirmative
bestätigend, affirmatively
bestätigende, corroboratory
bestätigendes, confirmatively
bestätigen, to acknowledge
bestätigen, to affirm a contract
bestätiger, certifier
bestätigt, activated
bestätigt, affirmed
bestätigt, confirmed
bestätigte, acknowledged
bestätigte die nachricht, confirmed the news
bestätigten, confirmative
bestätigter scheck, certified cheque
bestätigtes akkreditiv, confirmed letter of credit
bestätigte wieder, reconfirmed
bestätigt wieder, reconfirms
bestätigung, acknowledgement
bestätigung, affirmation
bestätigung, confirmation
bestätigung der hinterlegung, letter of deposit
bestätigung der übereinstimmung, certificate of conformity
bestätigung des zahlungseingangs, confirmation of receipt of payment
bestätigungen, corroborations
bestätigungsmeldung, acknowledgement message
bestätigungsschreiben, confirmatory letter
bestätigungsschreiben, letter of acknowledgement
bestätigungsschreiben, letter of confirmation
bestätigungs-taste, acknowledgement key
bestätigungsvermerk, audit certificate
bestätigung, validation
bestatten, inter
bestatter, mortician
bestattung, sepulture
bestattungsinstitute, undertakers
bestattungsinstitut, undertaker
bestäubend, powdering
bestäubt, powdered
bestbedacht, best considered
bestbegründet, best funded
bestbekannt, best-know
beste, best
bestechen, bribe
bestechen, currupt
bestechend, bribing
bestecher, briber
bestechlich, corrupt
bestechlich, corruptible
bestechlich, currupt
bestechliche, corruptibly
bestechlichere, more corrupt
bestechlichkeit, corruptibility
bestechlichkeiten, corruptibilities
bestechlichkeit, venality
bestechlichste, most corrupt
bestechlich, venal
bestechung, bribe
bestechung, bribery
bestechung, corruption
bestechungen, briberies
bestechungsgelder, bribes
bestechungsversuch, attempt at bribery
besteck, cutlery
bestecke, sets of cutlery
bestehen auf, insist
bestehen auf, insist on
bestehen auf, stand on
bestehen aus, be composed of
bestehen aus, consist of
bestehen, bribe
bestehen, consist of
bestehend, consisting
bestehendes recht, established law
bestehend, existent
bestehend, existing
bestehen einer prüfung, pass
bestehen, exist
bestehen, insist
bestehen, insist on
bestehen, pass
bestehlend, stealing from
bestehlen, stolenfrom
besteht aus, consist
besteht, consists
besteigen, climb
besteigt, climbs
besteigt wieder, remounts
besteigung, ascent
besteigungen, ascents
bestellbetrag, amount of the order
bestellbuch, order book
bestellen, appoint an agent
bestellen, bespeak
bestellen, book
bestellend, bespeaking
bestellende firma, ordering firm
bestellen, order
besteller, orderer
bestellfirma, ordering firm
bestellformular, order form
bestellkupon, return coupon
bestellnummer, order number
bestellschein, official order form
bestellschein, order form
bestellschein, order sheet
bestellschein, order ticket
bestellschein, return coupon
bestellt, bespeaks
bestellte, bespoke
bestellten, bespoken
bestellte neu, reordered
bestellterminal, teleshopping terminal
bestellter vertreter, appointed representative
bestelltes material, material on order
bestellt neu, reorders
bestellung, appointment
bestellung bestätigen, confirm an order
bestellung, booking
bestellung der revisoren, appointment of auditors
bestellungen, bookings
bestellung, order
bestellungsannahme, acceptance of order
bestellung über die zentrale, centralized buying
bestellung von hypotheken, creation of mortgages
bestellung vormerken, book an order
bestellzettel, call slip
besten, bests
besten dank für, will you accept my thanks for
bestenfalls, at best
besten, greatest
bestens, at best
bestens-auftrag, market order
bestens verkaufen, sell at best
beste qualität, highest quality
bester, best
besterhaltene burg, best preserved castle
bester kauf, best buy
besternährt, best fed
besterzogen, best behaved
bestes alter, prime age
bestes fabrikat, best make
bestes stück vom rind, silverside
besteuern, assess
besteuern, tax
besteuert, assessed
besteuertem, taxed
besteuerte, taxed
besteuert, taxed
besteuerungen, taxations
besteuerung, taxation
bestgeartet, best mannered
bestgesittet, best mannered
bestgestaltet, best shaped
bestialisch, bestial
bestialität, bestiality
bestialitäten, bestialities
besticken, broider
besticken, embroider
bestickt, broiders
bestie, beast
bestieg, climbed
bestiegen, mounted
bestieg wieder, remounted
bestiehlt, steals from
bestiensäule, column decorated with animals
bestimmbar, allocatable
bestimmbar, ascertainable
bestimmbar, definable
bestimmbar, determinable
bestimmbare, determinably
bestimmbarkeit, determinability
bestimmbarkeit, determinableness
bestimmbarkeit, terminability
bestimmbar, terminable
bestimmend, appointing
bestimmend, determinative
bestimmend, determining
bestimmende, determinedly
bestimmende faktor, determining factor
bestimmender faktor, determinant
bestimmen, determine
bestimmen, provide
bestimmen, specify
bestimmt, appoints
bestimmt, certain
bestimmt, definite
bestimmt, destined
bestimmte, appointed
bestimmte menge, specified amount
bestimmter bereich, area
bestimmter wert, assigned value
bestimmtes, definite
bestimmtes ereignis, definite event
bestimmtes integral, definite integral
bestimmte vorher, foreordained
bestimmt, exact
bestimmt grammatisch, parses
bestimmtheit, certainty
bestimmtheit, definiteness
bestimmtheit, positivness
bestimmt, positive
bestimmt, precise
bestimmt sein für, be intended for
bestimmt und unbedingt, unconditional and definite
bestimmt voraus, presets
bestimmt vorher, foreordains
bestimmt, without fail
bestimmung, appointment
bestimmung der schiffsortes, fix
bestimmung, destination
bestimmung, determination
bestimmungen, appointments
bestimmungen des frachtführers, regulations of the public carrier
bestimmungen des zolls, regulations of the customs
bestimmungen eines vertrags, provisions of a contract
bestimmungen, provisions
bestimmungen, provisions affecting a subject matter
bestimmung, provison
bestimmungsflughafen, airport of destination
bestimmungshafen, port of destination
bestimmungsland, country of destination
bestimmungsländer, countries of destination
bestimmungsort, destination
bestinformiert, best informed
bestmöglich, at best
bestmöglich, at the best
bestmöglich, at the best possible rate
bestmöglich, best possible
bestoch, bribed
bestohlen, stolen from
bestrafend, castigatory
bestrafen, penalize
bestrafen, punish
bestrafen, punish for
bestrafer, castigator
bestrafte, penalized
bestraft, penalizes
bestraft, punished
bestrafung, penalisation
bestrafung, punishment
bestrahlend, irradiating
bestrahlen, irradiate
bestrahlte, irradiated
bestrahlt, irradiates
bestrahlung, irradiation
bestrebend, striving
bestreben, striven
bestrebt, anxious
bestrebte, strived
bestrebt, strives
bestreichungsbatterie, enfilading battery
bestreichung, sweeping
bestreitbar, arguable
bestreitbar, debatable
bestreiten, argue
bestreiten, contest
bestreitend, controverting
bestreiten, impugn
bestreitet, controverts
bestreitung der glaubwürdigkeit oder gültigkeit, impeachment
bestreuen, bestrew
bestreuend, bestrewing
bestreut, bestrews
bestreute, bestrewed
bestreut, strewed
bestreut, strewn
bestrichener raum, sector swept by fire
bestritt, contested
bestseller, best seller
bestücken, equip
bestückung, mounting
bestückungsplan, layout diagram
bestückungsseite einer platine, component side
bestuhlung, seating
bestürmen, assail
bestürmend, sieging
bestürmt, assails
bestürmte, assailed
bestürzt, aghast
bestürzt, bewildered
bestürzung, confusion
bestürzungen, consternations
bestzeit, minimum time
besuch, attendance
besuchbar, visitable
besuchen, attend
besuchen, come to see
besuchend, visiting
besuchen, go to see
besuchen sie mich einmal, come to see me some time
besuchen, visit
besuchen, visiting
besucher, caller
besucherinnen, visitors
besucher, visitant
besucher, visitor
besucher werden gebeten, visitors are requested
besuche, visitations
besuche, visits
besuchszeiten, visiting hours
besuchszeit, visiting hours
besucht, attended
besuchte, visited
besuchte wieder, revisited
besucht, visited
besucht wieder, revisits
besuch uns, come and see us
besuch, visit
besuch, visiting
besuch von sehenswürdigkeiten, sightseeing
besudeln, besmirch
besudelnd, besmirching
besudeln, defile
besudeln, sully
besudelt, besmirches
besudelt, defiled
besudelte, besmirched
besudelung, defilement
betastend, palming
betasten, felt
betastet, palmed
betastung, palpation
betätigen, actuate
betätigen, exert
betätigen, operate
betätigte, operated
betätigt, operates
betätigung, activity
betätigung, exertion
betätigungsglied, actuator
betätschelt, patted
betäuben, anesthetize
betäubend, anesthetizing
betäuben, daze
betäubend, deafening
betäuben, deafen
betäuben, stun
betäubt, anesthetizes
betäubt, dazed
betäubt, drugged
betäubte, anesthetized
betäubt, stunned
betäubung, anaesthesia
betäubungsmittel, anesthetic
betäubungsmittel, narcotics
beteiligend, advocatory
beteiligen, enlist
beteiligt, concerned
beteiligte, enlisted
beteiligtem, participated
beteiligt, enlists
beteiligter, party
beteiligter, sharer
beteiligt sich, participates
beteiligung, advocation
beteiligung an einem geschäft, investment in a business
beteiligungen und andere wertpapiere, bonds and other interests
beteiligung, interests
beteiligung, participation
beteiligungserwerb, acquisition of stock
beteiligungsgesellschaft, associated company
beteiligungsgesellschaft, holding company
beteiligungskonto, investment account
beteiligungsquote, amount of holding
betend, praying
beten, pray
beten zu, pray to
betet, an adores
betet an, adores
betete an, hallowed
beteten, prayed
betete, prayed
beteuern, asseverate
beteuernd, asseverating
beteuern, reaffirm
beteuert, asseverates
beteuerte, asseverated
beteuerte nochmals, reaffirmed
beteuert nochmals, reaffirms
beteuerung, asseveration
beteuerungen, asseverations
beteuerung, protestation
beteuerung, reaffirmation
betitelnd, titling
betiteln, entitle
betitelt, entitled
betitelt, headed
betitelt, titled
betitelung, titling
betkapelle, oratory
betnuß, prayer-bead
betonbogen, cast concrete arch
betonbrücke, concrete bridge
beton, concrete
betonen, accent
betonen, accentuate
betonend, accenting
betonen, emphasize
betonen, to accentuate
betonen, to emphasize
betongewölbe, cast concrete vault
betonierend, concreting
betoniert, concretes
betonierte, concreted
betonpflaster, concrete surface
betonplatte, concrete slab
betonstein, concrete bloc
betonstraße, concrete road
betonstufe, concrete step
betont, accents
betonte, accentuated
betont, emphatic
betonten, stressed
betonte wieder, re emphasized
betontheit, demonstrativeness
betontreppe, concrete stairs
betont wieder, re emphasizes
betonung, accent
betonung, emphasis
betonungen, emphases
betonung, stress
betonungszeichen, stress mark
betörend, beguilingly
betören, infatuate
betört, besotted
betörte, infatuated
betört, infatuated
betörung, infatuation
betrachten, behold
betrachtend, contemplating
betrachten, look at
betrachten, regard
betrachten sie den auftrag als gestrichen, please regard my order as cancelled
betrachten, view
betrachter, contemplator
betrachterinnen, viewers
betrachter, viewer
betrachtet, considered
betrachtet, contemplated
betrachtete, contemplated
betrachtet es als ihre pflicht, feels in duty bound
betrachtete wieder, reconsidered
betrachtet, viewed
betrachtet wieder, reconsiders
beträchtiliche schadensersatzleistung, substantial damages
beträchtlich, considerable
beträchtliche anzahl, great number
beträchtliche differenz, wide difference
beträchtliche kapitaldecke, considerable amount of capital
beträchtliche kursansteigerungen, substantial rises
beträchtliche kursansteigerungenþ, substantial rises
beträchtliche mittel, considerable funds
beträchtliche mittel, considerable resources
beträchtlicher schaden, serious damage
beträchtlicher verlust, substantial loss
beträchtliche schwankungen, considerable fluctuations
beträchtliche vorteile, considerable advantages
beträchtlich, serious
beträchtlich, sizeably
beträchtlich, substantial
beträchtlichþ, substantial
betrachtung, contemplation
betrachtungen, considerations
betrachtung, meditation
betrachtungseinheit, item
betrachtungsweise, approach to
betrachtungswinkel, viewing angle
betrachtungszeitraum, period under consideration
betrachtungszeitraum, period under observation
betrachtungszeitraum, period under review
betrachtung, view
betraf, concerned
betrag, absolute value
betrag, amount
betrag der kontoüberziehung, amount overdrawn
beträge, amounts
betragen, amount
betragen, amount to
betragen, behavior
betragen, behaviour
betragend, amounting
betragend, amounting to
betrag erhalten, payment received
betrag in bar erhalten, cash received
betrag in worten und zahlen unterschiedlich, words and figures differ
betragsabweichung, amount deviation
betragsaufbereitung, amount editing
betragsausrechnung, amount calculation
betragsberechtigung, amount authorization
betragsberichtigung, amount adjustment
betragseingabe, amount input
betragserteilung, apportionment
betragsfeld, amount field
betragskontierung, amount posting
betragskorrektur, amount correction
betragsmäßig, according to amount
betragszuordnung, amount allocation
beträgt, amounts
beträgt im mittel, averages
beträgt sich, comports
betrat, entered
betrat wieder, re entered
betrauernd, bemoaning
betrauert, bemoans
betrauerte, bemoaned
betraut mit dem schutz der ware, entrusted with the protection of the goods
betraut mit der verwahrung der ware, entrusted with the custody of the goods
betrebsbereit, ready for operation
betreffen, affect
betreffen, concern
betreffend, as to
betreffend, concerning
betreffend diese sendung, regarding this consignment
betreffend die verkaufsfördung, regarding sales promotion
betreffend die versicherung, regarding the insurance
betreffend, regarding
betreffs, concerning
betreffs, respecting
betreiben, bustle
betreiben, carry on a business
betreibend, carrying on
betreiben, to carry on a business
betreiber, carrier
betreibt, carries on
betreibt einzelhandel, retails
betreibung, prosecution
betreibungskosten, operating costs
betreten, accede
betreten des rasens verboten, keep off the grass
betretene, embarrassed
betreten, enter
betreten, tread
betreuend, looking after
betreuen, look after
betreuer, doctor
betreuer, person in charge
betreute, looked after
betreut, looks after
betreuungen, cares
betreuungsgebühr, attendance fee
betreuung von kunden, support service
betrieb, bustle
betrieb, concern
betrieb eines kraftfahrzeugs, operation of a vehicle
betrieb, establishment
betriebe, undertakings
betrieb, factory
betrieb in sperrichtung, reverse-biasing
betriebinterner arbeitsmarkt, internal labour market
betriebliche ausbildung, industrial training
betriebliche ausbildung, in-firm training
betriebliche ausbildung, in-plant training
betriebliche ausbildung, in-service education
betriebliche ausbildungsstätte, company training centre
betriebliche berufsausbildung, industrial training
betriebliche berufsausbildung, in-firm training
betriebliche gesundheitsförderung, workplace health promotion
betriebliche leistung, operating efficiency
betriebliche leistung, output
betriebliche leistung, production
betriebliche leistungsfähigkeit, operating efficiency
betriebliche, operationally
betriebliche personalplanung, company manpower planning
betriebliche personalplanung, personnel planning in the firm
betrieblicher arbeitsmarkt, internal labour market
betrieblich, operational
betrieb, operation
betriebsabrechnungsbogen, expense distribution sheet
betriebsanalyse, operation analysis
betriebsanlagen, factory equipment
betriebsanleitung, guide book
betriebsanleitung, manual of instruction
betriebsanleitung, operating instructions
betriebsart automatik, automatic mode
betriebsart einrichten, initial setting mode
betriebsartenanwähler, mode selector
betriebsartenanwahl, mode selection
betriebsartenwähler, mode selector
betriebsart hand, manual mode
betriebsart, mode
betriebsart, mode of operation
betriebsart schrittsetzen, step setting mode
betriebsart teilautomatik, semi-automatic mode
betriebsart tippen, inching mode
betriebsarzt, company medical officer
betriebsarzt, works doctor
betriebsassistent, assistant to works manager
betriebsauftrag, business order
betriebsausbildung, industrial education
betriebsausfall, failure
betriebsausflug, annual works outing
betriebsausflüge, works outings
betriebsausgaben, operating expenses
betriebsausstattung, factory equipment
betriebsausstattung, manufacturing facilities
betriebsbedingungen, operating conditions
betriebsbedingungen, service conditions
betriebsberater, consulting engineer
betriebsberater, cosulting engineer
betriebsberater, management consultant
betriebsbereit, operable
betriebsbereit, ready for operation
betriebsbereit, ready for use
betriebsbereit, ready-to-operate
betriebsbereitschaft, state of readiness
betriebsbuchhaltung, factory bookkeeping
betriebsdatenerfassung, factory data capture
betriebsdaten, operating data
betriebsdauer, operating time
betriebsdauer, time of operation
betriebsebene, establishment level
betriebsebene, plant level
betriebseigene revision, internal audit
betriebseigen, in-house
betriebseinkommen, operating income
betriebseinrichtung, factory equipment
betriebserde, signal ground
betriebsergebnis nach steuern, after-tax operating results
betriebsergebnis, operating result
betriebsergebnis, operating results
betriebsergebnis vor steuern, pre-tax operating results
betriebserweiterung, plant extension
betriebsfähig, fir for use
betriebsfähigkeit, serviceability
betriebsfähig, operable
betriebsfähig, ready for service
betriebsfremde erträge, non-operating revenue
betriebsfremde revision, external audit
betriebsfremde tätigkeiten, auxiliary activities
betriebsfremd, non-operating
betriebsführung durch delegation, management by delegation
betriebsführung durch motivierung, management by motivation
betriebsführung durch systemerneuerung, management by innivation
betriebsführung durch systemerneuerung, management by innovation
betriebsführung durch zielvorgaben, management by objectives
betriebsführung, management
betriebsführung nach dem ausnahmeprinzip, management by exception
betriebsführung nach ergebnissen, management by results
betriebsgefahren, operational hazards
betriebsgefahr, operational risk
betriebsgeheimnis, company secret
betriebsgemeinkosten, factory burden
betriebsgewöhnliche nutzungsdauer, asset depreciation range
betriebshaftpflichtversicherung, employer's liability insurance
betriebshierarchie, management hierarchy
betrieb, shop
betriebsingenieur, production engineer
betriebsintern, in-house
betriebskapital, circulating capital
betriebskapital, floating assets
betriebskapital, floating capital
betriebskapital, operating capital
betriebskapital, rolling capital
betriebskapital, working capital
betriebsklar, ready
betriebsklima, atmosphere
betriebsklima, human climate
betriebsklima, shop morale
betriebsklima, work climate
betriebsklima, working atmosphere
betriebskosten, cost of operation
betriebskosten, operating costs
betriebskosten, running costs
betriebskosten, working costs
betriebskosten, working expenses
betriebsküche, factory canteen
betriebsleistung, factory output
betriebsleistung, operating efficiency
betriebsleistung, operational effectiveness
betriebsleiter, factory manager
betriebsleiter, manager
betriebsleiter, works manager
betriebsleitung, factory
betriebsleitung, general management
betriebsleitung, management committee
betriebsmittel, equipment
betriebsmittel, production facilities
betriebsmittel, resource
betriebsmittel, resources
betriebsmittelzeit, available machine time
betriebsmittelzeit, available process time
betriebsobmann, shop steward
betriebsordnung, work rules
betriebspolitik, management policy
betriebsprüfung, company audit
betriebspsychologie, industrial psychology
betriebsräte, works councils
betriebsrat, shop committee
betriebsratsvorsitzender, shop chairman
betriebsrat, works committee
betriebsrat, works council
betriebsrente, company pension
betriebsrente, occupational pension
betriebsrisiko, business risk
betriebssicher, dependable
betriebssicheres arbeiten, reliable performance
betriebssicherheit, industrial safety
betriebssicherheit, reliability
betriebssicher, reliable
betriebssicher, safe to operate
betriebsspannung, operating voltage
betriebsstandanzeiger, condition code indicator
betriebsstätte, industrial premises
betriebsstillegung, closure of a company
betriebsstörung, failure
betriebsstörung, holdup
betriebssystem, operating system
betriebstaktfrequenz, operating clock frequency
betriebstätigkeiten, operating activities
betriebstemperatur, operating temperature
betriebsüberwachung, control of operations
betriebsunfähig, unserviceable
betriebsunfall, accident at work
betriebsunfall, industrial accident
betriebsunfall, industrial injury
betriebsunfall, occupational accident
betriebsunfall, occupational injury
betriebsunfall, shop-accident
betriebsunfallversicherung, industrial injury insurance
betriebsunterbrechungsversicherung, business interruption insurance
betriebsvereinbarung, factory agreement
betriebsvergleich, interfactory comparative study
betriebsverhalten, operating characteristic
betriebsverhältnisse, operating conditions
betriebsverlust, operating loss
betriebsverlust, operational loss
betriebsvermögen, business assets
betriebsvermögen, working capital
betriebsversammlung, works meeting
betriebsversicherung, factory insurance
betriebswirtschaftler, business economist
betriebswirtschaft, managerial-economics
betriebswirtschaftslehre, business administration
betriebswirtschaftslehre, business economics
betriebswirtschaftslehre, industrial management
betriebswirtschaftslehre, managerial economics
betriebswissenschaft, science of management
betriebswissenschaft, scientific management
betriebszählung, establishment census
betriebszeit, attended time
betriebszeit, time of operation
betriebszweig, branch of industry
betriebszweige, branches of industry
betrieb, works
betrieb, workshop
betrienssprache, job control language
betrifft, concerns
betritt, enters
betrittsanmeldung, application for membership
betritt wieder, re enters
betroffen, concerned
betroffenere, more shocked
betroffenes land, the country concerned
betroffenheit, concernment
betroffenheiten, shocks
betroffen, shocked
betroffenste, most shocked
betroffen, struck
betrog, deceived
betrogen, cheated
betrogener ehemann, cuckold
betrüben, afflict
betrübend, afflicting
betrübende, afflictively
betrüben, sadden
betrüblichere, more deplorable
betrüblichste, most deplorable
betrübt, afflicted
betrübte, afflicted
betrübten, saddens
betrübtheit, sorriness
betrübt, sorry
betrug, amounted to
betrug, bamboozlement
betrug, cozenage
betrug, defraud
betrügen, cheat
betrügen, cozen
betrügend, cheatingly
betrügen, defraud
betrügen, defraud of
betrügen, diddle
betrügen, fiddle
betrügen, fob
betrügen, hocus
betrügen, swindle
betrügen, to hocus
betrügen, trick
betrug entsteht dann wenn, fraud originates when
betrüger, beguiler
betrüger, cheat
betrüger, cozener
betrüger, defrauder
betrügerei, barratry
betrügereien, barratries
betrügereien, frauds
betrügereien, swizzes
betrügerei, fraudulence
betrügerei, fraudulency
betrügerei, trickery
betrügerisch, bogus
betrügerisch, deceitful
betrügerisch, deceptive
betrügerische, deceitfully
betrügerische erklärungen, fraudulent statements
betrügerische falschbuchung, fraudulent entry
betrügerische fälschung, fraudulent falsification
betrügerischer bankrott, fraudulent bankruptcy
betrügerisches auftreten, impersonation
betrügerische umgehung der vorschriften, fraudulent evasion
betrügerisch falsche darstellung, fraudulent misrepresentation
betrügerisch, fraudulent
betrügerisch verabredet, collusive
betrügerisch verabredete, collusively
betrüger, nobbler
betrug, fraud
betrugsabsicht, intention to defraud
betrugsabsicht, intent to defraud
betrugshandlung, defraudation
betrug sich, comported
betrugsversuch, attempt to defraud
betrügt, cheats
betrügte, rooked
betrunken, drunk
betrunken, drunken
betrunkene, drunkard
betrunkene, groggy
betrunkenen, canned
betrunkenen, drunks
betrunkener, drunkard
betrunkener, groggier
betrunkenheit, drunkenness
betrunken, inebriate
betrunken machen, intoxicate
betrunkenste, groggiest
betschemeldecke, prie-dieu cover
bett, bed
bettbezug, plumeau case
bettdecke, bedspread
bettdecken, bedspreads
bettelarm machend, pauperizing
bettelbrief, begging letter
bettelbriefe, begging letters
bettelei, begging
betteleien, mendicancies
bettelei, mendicancy
bettelmönch, friar
bettelmönch, mendicant
betteln, beg
betteln, beg for
bettelnd, begging
bettelorden, mendicant order
bettelt ab, wheedles
bettelt, begs
bettelte ab, wheedled
bettelte, begged
betten, bed
betten, beds
bettend, bedding
bettete ein, embedded
bettet ein, embeds
bettflasche, hot water bottle
bettgestell, bedstead
bettlägerig, bedridden
bettlägrig, bedrid
bettler, beggar
bettler haben keine wahl, beggars have no choice
bett machen, make a bed
bettpfanne, bedpan
bettreif, ready for bed
bettstelle, bedstead
bettstellen, bedsteads
bettüberzug, bed tick
bettüberzüge, bed ticks
bettuch, sheet
bettung, gun-platform
bettungsbohle, platform-plank
bettungsrahmen, platform-framework
bettungsrippe, beam forming platform-foundation
bettwäsche, bedclothes
bettzeug, bedclothes
betupft, dabs
betupfte, dabbed
betupften, dabbing
betürmt, steepled
beugbar, inflective
beugemuskel, flexor
beugend, bending
beugen, diffract
beugen, flex
beugt, bends
beugte, bent
beugte vor, obviated
beugt vor, obviates
beugung, diffraction
beugungen, flections
beugung, flection
beugung, inflection
beugung, inflexion
beule, dent
beulen, bumps
beulenpest, buboplague
beunruhigen, agitate
beunruhigend, alarmingly
beunruhigend, disquieting
beunruhigende, disquietingly
beunruhigen, disquiet
beunruhigend, perturbing
beunruhigend, worrying
beunruhigen, perturb
beunruhigen, trouble
beunruhiger, perturber
beunruhigt, disquiets
beunruhigte, disquieted
beunruhigt, worried
beunruhigung, agitation
beunruhigung, perturbation
beunruhigung, vexation
